maize,soybean,hay,pkc,protein,fiber,energy,breed,age,weight,milk_yield,weight_gain,cost
32,26,25,17,14.02,14.92,83.05,White Fulani,5,689,29.69,3.98,455.57
34,15,31,20,19.38,17.49,72.39,Holstein,4,631,32.23,3.74,417.15
26,15,35,24,14.83,9.64,72.05,Bunaji,4,336,28.71,3.63,404.37
48,27,18,7,20.86,12.19,58.5,Jersey,6,705,34.45,3.86,493.62
49,32,11,8,12.83,10.72,81.72,Friesian,3,439,33.06,3.9,522.3
39,27,34,0,20.52,14.51,80.62,Holstein,7,453,37.88,4.01,469.31
57,22,39,0,23.23,11.86,89.58,Friesian,9,430,41.48,5.05,522.23
52,31,38,0,22.95,15.78,66.16,Jersey,2,368,38.13,4.07,553.9
35,22,13,30,19.54,15.94,78.85,Bunaji,4,432,34.8,4.26,485.07
51,15,39,0,17.4,17.59,62.26,Friesian,8,269,29.64,4.07,396.71
39,24,35,2,18.9,16.2,75.5,Holstein,3,799,34.44,4.15,425.29
22,12,37,29,20.67,18.8,61.41,Jersey,1,671,29.32,3.33,361.83
30,22,22,26,19.04,12.65,54.04,Jersey,5,386,28.65,3.39,432.55
22,28,14,36,14.71,17.18,87.92,Bunaji,8,419,30.72,3.77,474.21
26,25,15,34,17.7,14.63,72.31,Holstein,8,252,35.4,3.11,448.72
28,17,28,27,19.85,18.75,84.65,Jersey,4,276,32.51,3.9,407.08
20,29,30,21,14.02,15.57,79.42,Friesian,9,433,31.2,3.36,444.16
28,31,10,31,19.79,8.95,61.48,White Fulani,4,548,32.24,3.53,520.91
58,30,18,0,19.38,19.72,60.91,Holstein,1,326,36.36,3.72,531.76
37,22,17,24,19.58,8.83,51.91,Friesian,5,410,28.63,3.28,483.24
58,17,38,0,20.52,13.35,63.86,Bunaji,1,278,33.47,3.97,454.89
53,15,34,0,12.67,12.04,80.13,Bunaji,6,359,29.19,4.03,434.48
25,24,26,25,23.98,15.68,56.92,Jersey,3,498,34.01,3.27,450.15
34,22,29,15,17.07,11.41,79.32,Bunaji,8,323,33.68,3.79,433.71
46,23,15,16,16.11,15.68,67.46,White Fulani,6,330,33.95,3.58,470.02
31,34,38,0,13.1,18.84,86.28,Friesian,9,280,32.77,4.11,485.72
54,32,32,0,14.24,11.1,68.72,Holstein,2,776,31.9,4.0,571.13
46,33,16,5,19.58,13.86,57.46,Jersey,1,599,35.11,3.55,519.18
50,34,24,0,22.78,17.62,79.07,Holstein,4,394,39.33,4.75,578.24
48,17,11,24,16.23,9.81,74.82,Friesian,5,473,32.33,4.33,450.98
36,11,20,33,21.33,15.34,57.14,White Fulani,6,559,30.93,3.01,362.38
24,32,32,12,18.26,16.16,85.89,Friesian,4,270,37.83,3.79,471.34
53,15,22,10,14.27,17.5,88.22,Friesian,1,646,34.72,4.83,416.56
22,34,10,34,12.75,16.36,52.11,Jersey,8,464,27.52,2.68,514.64
59,22,27,0,13.31,12.76,70.29,Holstein,3,541,29.38,3.71,477.95
29,31,32,8,14.78,11.5,84.18,Friesian,6,555,33.65,4.11,487.07
22,12,23,43,17.21,10.31,60.83,Friesian,1,716,25.95,2.89,368.0
27,26,30,17,24.26,18.61,53.36,White Fulani,1,500,35.86,3.31,411.8
50,15,24,11,15.79,9.41,76.15,Bunaji,2,369,32.1,4.38,402.74
40,12,32,16,17.53,8.74,72.27,White Fulani,1,595,30.87,3.95,397.58
36,24,11,29,14.67,17.06,82.15,Holstein,9,712,31.78,3.71,468.4
29,18,11,42,24.4,17.4,76.4,Holstein,2,560,36.44,4.46,390.76
20,12,24,44,16.33,12.06,57.86,Jersey,8,638,22.89,2.98,371.53
45,17,31,7,16.24,14.89,61.7,Bunaji,9,595,25.74,3.56,404.55
34,24,22,20,14.77,13.12,87.58,Holstein,7,293,32.72,3.88,415.93
39,24,36,1,16.22,14.78,85.26,Bunaji,7,427,33.43,4.07,474.23
27,15,37,21,21.17,17.56,77.27,White Fulani,9,300,31.11,3.62,382.93
32,17,36,15,19.84,8.38,54.75,Holstein,1,500,31.03,3.61,350.18
59,25,14,2,14.59,8.73,59.49,Friesian,3,736,33.6,3.7,462.88
41,23,25,11,16.2,19.79,78.34,Holstein,1,509,33.21,3.83,454.98
59,34,24,0,23.81,19.34,50.25,Bunaji,4,263,36.29,3.72,590.7
54,10,29,7,24.15,9.86,51.36,Holstein,4,665,36.83,4.07,396.75
41,25,12,22,24.55,9.93,57.25,Jersey,5,765,37.65,3.67,477.25
38,16,25,21,15.59,10.96,72.54,Friesian,2,356,32.85,3.9,400.98
37,11,32,20,15.31,11.66,64.4,Jersey,6,480,24.92,3.52,410.76
37,10,13,40,17.56,15.69,88.14,White Fulani,8,481,35.02,4.07,388.77
45,17,36,2,16.28,9.68,64.85,Holstein,7,541,28.26,3.3,444.46
45,22,13,20,21.2,19.7,59.32,Holstein,6,420,33.98,3.26,468.43
43,27,13,17,15.53,19.75,60.82,White Fulani,3,557,27.66,3.24,481.54
45,24,23,8,14.95,8.05,63.72,Jersey,6,656,29.62,3.33,456.99
23,27,11,39,22.71,17.19,65.0,Friesian,1,696,31.76,3.52,466.41
43,10,25,22,21.47,14.8,57.86,Jersey,8,604,31.55,3.52,382.91
42,21,32,5,23.02,12.52,72.96,Bunaji,2,379,35.27,4.36,415.79
23,15,32,30,12.06,18.63,52.66,Jersey,7,390,20.72,2.35,382.72
42,25,26,7,24.02,17.8,62.02,Friesian,1,543,36.89,3.87,463.07
34,13,34,19,18.99,15.12,71.74,Holstein,1,494,31.45,4.06,406.4
30,22,28,20,21.44,17.48,61.55,Jersey,6,382,35.96,3.7,475.87
24,21,23,32,13.21,8.55,54.46,White Fulani,5,470,24.72,2.63,429.58
33,20,20,27,16.73,8.87,72.75,Friesian,6,314,31.11,3.25,435.28
56,26,32,0,19.56,9.19,62.26,Holstein,7,467,35.69,3.66,534.71
33,22,29,16,20.78,10.04,57.59,Friesian,6,491,30.68,3.04,428.26
38,15,11,36,21.9,16.35,59.56,White Fulani,2,405,30.2,3.49,385.8
37,32,29,2,12.61,13.19,83.1,Bunaji,9,419,32.65,4.25,482.31
36,13,27,24,21.54,19.25,71.17,Friesian,1,609,32.01,3.55,369.31
46,16,29,9,16.1,19.89,67.26,Friesian,2,325,30.24,3.73,403.8
27,11,34,28,15.74,10.98,77.39,Jersey,2,793,29.1,3.41,339.12
29,27,13,31,13.86,18.82,56.98,White Fulani,5,595,28.72,3.27,472.81
33,17,25,25,12.29,14.78,79.9,White Fulani,2,491,26.94,3.71,423.55
35,19,30,16,19.41,15.78,77.12,Bunaji,1,361,33.98,4.29,445.68
23,11,38,28,24.11,14.15,62.23,White Fulani,5,334,32.42,3.99,349.8
37,25,25,13,20.86,12.07,72.86,Friesian,4,540,35.6,3.66,470.63
54,27,17,2,24.49,10.19,62.45,Bunaji,8,355,38.89,4.39,511.64
48,18,19,15,15.98,10.97,65.37,White Fulani,8,257,31.09,3.36,446.61
35,13,27,25,20.67,13.36,87.36,Bunaji,5,557,33.41,4.5,394.42
46,14,22,18,16.63,12.47,62.73,White Fulani,8,617,31.5,3.7,415.86
48,13,11,28,12.23,15.43,68.32,White Fulani,9,528,26.78,3.68,410.96
37,19,19,25,17.61,13.35,62.34,Jersey,4,693,30.46,3.58,408.91
21,11,32,36,17.26,14.64,87.52,White Fulani,3,642,28.87,4.47,345.26
53,24,26,0,23.48,10.21,83.61,Bunaji,5,531,37.59,4.58,478.45
24,18,28,30,16.06,11.42,79.22,Friesian,4,308,30.59,3.73,427.78
34,23,34,9,19.28,10.45,86.11,Jersey,8,718,34.82,4.32,435.82
46,17,27,10,15.84,17.23,65.76,White Fulani,2,547,28.89,3.44,443.93
34,19,35,12,14.45,17.41,73.85,White Fulani,7,740,29.65,3.56,388.62
58,15,32,0,19.07,14.31,61.68,Bunaji,8,796,31.86,3.74,446.23
36,27,11,26,17.79,8.62,62.01,Jersey,9,352,33.93,3.49,438.25
44,13,27,16,17.58,18.38,77.79,White Fulani,3,575,32.0,4.06,395.31
38,31,28,3,24.28,13.33,76.46,Friesian,9,494,40.59,4.54,486.91
59,30,24,0,21.22,10.71,76.26,Friesian,8,573,40.9,4.93,564.58
58,21,15,6,18.43,19.35,79.9,White Fulani,5,466,36.07,4.16,517.58
38,18,35,9,24.66,8.47,87.85,Friesian,6,425,40.16,4.85,414.81
38,28,21,13,24.88,13.07,55.25,Jersey,5,638,37.25,3.6,504.98
40,31,16,13,15.95,13.63,84.95,White Fulani,2,620,34.67,4.21,526.21
42,10,28,20,23.7,12.18,54.46,Bunaji,2,328,35.35,3.72,352.98
38,33,19,10,12.83,12.28,74.04,Jersey,7,715,30.02,3.46,514.07
35,28,32,5,24.14,14.32,71.51,Friesian,8,379,39.35,4.06,472.43
43,24,23,10,14.66,17.2,61.82,White Fulani,1,539,29.71,3.31,431.37
29,28,38,5,14.43,10.38,68.9,Jersey,1,666,31.7,3.3,438.49
22,11,12,55,17.5,14.69,85.54,Friesian,2,517,33.01,3.87,372.37
58,18,26,0,15.88,18.14,74.09,White Fulani,7,289,30.9,4.15,443.57
40,25,24,11,20.6,18.18,80.07,Holstein,5,388,32.05,4.55,481.9
53,11,21,15,20.36,14.24,77.27,Bunaji,5,707,37.68,4.53,365.94
43,13,33,11,16.7,12.73,58.07,Friesian,7,554,28.48,3.14,354.96
28,14,17,41,21.85,19.97,86.0,Friesian,1,747,35.37,4.24,403.83
47,22,23,8,17.89,11.78,87.65,Holstein,2,544,38.18,4.48,461.76
48,25,24,3,18.33,18.36,67.94,Holstein,1,567,31.84,3.92,474.69
53,15,39,0,15.79,10.72,55.17,Jersey,4,725,28.67,3.85,405.19
34,32,31,3,24.7,17.56,66.52,Bunaji,4,770,38.56,3.8,483.09
27,29,27,17,23.69,9.23,55.71,Bunaji,5,550,34.57,3.5,461.46
54,26,23,0,13.77,13.1,55.42,Friesian,8,443,27.58,3.66,508.62
50,14,22,14,20.5,9.14,62.75,Holstein,4,677,34.9,4.09,393.14
20,20,27,33,13.9,19.46,53.06,Bunaji,3,649,22.85,2.95,412.58
52,32,30,0,12.73,19.73,81.62,White Fulani,6,280,33.31,3.97,541.77
32,26,13,29,23.62,11.08,59.61,Bunaji,2,266,36.58,3.67,462.15
36,11,12,41,24.94,8.16,64.21,Friesian,2,679,33.7,3.75,380.37
20,30,36,14,12.67,18.05,87.52,Bunaji,9,571,30.73,3.72,445.06
32,27,37,4,19.56,18.9,82.34,Jersey,3,786,33.15,4.38,450.36
57,19,37,0,22.47,8.11,62.5,Holstein,9,649,37.43,4.33,461.76
23,19,28,30,20.48,9.46,57.02,Friesian,9,669,30.45,3.26,380.27
54,31,37,0,18.09,12.78,55.48,Friesian,9,330,34.58,3.5,606.05
42,25,36,0,22.81,13.56,79.5,Holstein,3,328,37.54,4.26,444.09
59,30,25,0,18.9,9.76,55.59,Holstein,7,580,34.56,3.93,548.03
52,17,12,19,18.62,14.13,82.57,Holstein,5,470,36.21,4.38,460.36
24,21,36,19,16.19,14.83,70.71,Friesian,6,287,31.23,3.1,417.15
20,20,35,25,15.43,11.37,66.52,Holstein,3,767,26.63,3.23,410.79
36,15,18,31,14.66,16.19,80.58,Holstein,1,596,29.35,3.98,414.09
35,10,12,43,19.76,9.47,88.52,Friesian,9,677,34.19,4.16,402.38
45,17,12,26,23.98,8.44,84.25,Friesian,3,314,40.89,4.82,438.9
54,18,14,14,21.86,12.02,65.16,Jersey,5,388,37.52,3.97,423.73
50,14,21,15,22.81,15.1,64.32,Bunaji,9,571,37.67,4.08,417.2
59,20,34,0,15.72,19.01,81.24,White Fulani,5,644,35.76,4.15,481.73
35,20,28,17,13.13,9.4,78.61,Friesian,8,666,29.83,3.75,433.62
40,34,19,7,18.58,12.33,81.34,White Fulani,8,773,35.02,4.11,551.35
24,14,27,35,14.66,14.54,80.61,Jersey,4,395,29.93,3.51,392.47
41,24,10,25,12.52,17.14,53.98,Bunaji,3,465,28.95,3.16,492.82
27,23,10,40,13.34,8.93,73.73,Bunaji,3,648,29.3,3.61,447.78
23,14,27,36,18.47,12.79,80.02,Bunaji,6,444,30.96,4.22,408.89
31,12,27,30,22.8,18.94,60.17,Jersey,6,546,29.31,3.4,362.48
33,20,16,31,24.38,13.31,77.63,Holstein,6,318,38.3,3.97,427.48
42,23,26,9,18.03,15.27,69.58,Bunaji,5,419,37.6,3.71,433.93
20,15,18,47,15.75,12.91,70.96,Bunaji,5,346,26.62,3.36,380.94
57,29,26,0,23.85,8.23,76.14,Jersey,5,550,40.0,4.34,545.51
41,14,23,22,18.4,17.87,66.24,Holstein,2,627,30.69,3.83,434.48
43,20,18,19,17.79,10.93,71.11,Bunaji,5,379,32.4,3.77,465.92
28,12,29,31,16.24,14.76,57.49,Bunaji,8,471,24.7,3.27,381.99
36,10,14,40,24.44,12.7,66.81,Holstein,8,741,37.0,4.51,346.15
32,17,10,41,17.65,12.87,64.8,Friesian,2,639,28.13,3.57,421.28
40,13,33,14,19.05,11.39,62.94,Friesian,6,438,27.83,3.38,382.38
52,20,25,3,17.89,14.19,55.34,Bunaji,4,673,30.68,3.26,446.36
41,26,31,2,17.39,13.2,68.69,White Fulani,6,585,30.6,3.66,452.69
43,13,12,32,16.54,16.46,71.49,Holstein,9,759,29.07,3.86,408.33
50,28,34,0,15.22,9.25,80.78,Holstein,9,716,35.12,4.28,539.39
38,26,29,7,13.2,16.55,52.78,White Fulani,1,571,23.74,2.95,462.56
24,33,32,11,22.6,19.02,81.11,Holstein,9,723,38.5,3.97,505.32
49,30,33,0,12.52,19.95,74.09,Jersey,8,479,30.03,3.4,547.37
43,16,13,28,15.85,15.53,66.8,Holstein,1,339,30.42,3.93,425.07
54,20,12,14,20.38,15.4,59.34,Holstein,8,778,34.39,3.89,448.23
23,23,28,26,24.04,8.29,52.06,Holstein,6,360,31.65,3.13,419.95
36,26,32,6,18.74,14.26,71.58,Friesian,3,795,32.4,3.94,461.52
58,16,13,13,23.55,18.22,67.33,Jersey,3,449,34.37,4.27,471.66
44,21,35,0,23.58,13.15,71.35,Holstein,3,616,37.14,4.3,432.37
42,25,20,13,19.03,16.63,59.01,Jersey,7,428,31.24,3.47,471.13
41,22,38,0,22.68,16.39,77.69,Jersey,8,546,39.89,4.38,395.51
32,16,18,34,15.19,17.22,50.51,Jersey,7,592,26.1,3.06,421.62
24,12,26,38,22.06,8.52,67.12,White Fulani,9,591,29.42,3.23,389.65
27,31,19,23,23.51,16.14,82.75,Holstein,9,267,39.31,4.49,487.39
30,29,28,13,12.63,18.54,53.19,Friesian,4,413,26.06,2.84,494.0
46,27,30,0,21.63,13.29,85.53,Friesian,3,767,36.92,4.52,516.35
57,17,35,0,23.68,10.29,89.3,Friesian,3,337,43.33,5.13,473.93
35,24,27,14,17.93,11.26,64.08,Friesian,8,497,31.3,3.58,451.11
31,21,30,18,12.29,8.48,83.09,Holstein,1,377,29.58,3.72,435.29
51,20,33,0,14.24,17.84,63.41,Friesian,2,428,29.58,3.39,471.38
28,15,26,31,20.59,14.61,58.27,Jersey,8,425,30.87,3.42,365.84
41,17,28,14,22.51,14.85,50.42,White Fulani,4,358,34.45,3.62,415.99
32,29,25,14,15.15,15.75,62.15,Bunaji,1,507,29.88,3.56,505.53
35,21,18,26,19.94,10.7,74.52,Friesian,3,361,34.97,4.08,471.45
41,28,19,12,19.24,9.6,61.5,Bunaji,5,592,34.97,3.82,491.13
32,17,25,26,16.4,13.46,63.9,Bunaji,9,792,27.8,3.13,376.72
23,27,28,22,17.52,9.75,83.25,Bunaji,6,572,33.7,4.03,468.7
51,26,30,0,20.3,10.05,84.42,Jersey,5,315,38.79,4.9,523.11
37,31,17,15,22.05,10.92,51.6,Friesian,5,382,35.64,3.33,478.39
38,12,33,17,13.13,18.35,65.62,Holstein,2,550,26.25,3.22,363.18
36,11,27,26,12.63,16.07,89.46,Jersey,9,346,28.13,3.96,364.78
57,17,11,15,12.93,16.59,65.63,Holstein,3,733,26.8,3.63,407.47
26,27,33,14,12.19,8.66,61.28,Friesian,5,257,27.87,2.87,474.94
47,10,20,23,18.13,19.48,67.35,Jersey,6,414,29.83,3.67,357.39
32,31,29,8,17.2,12.33,83.05,Bunaji,5,493,33.32,3.95,513.83
30,22,10,38,19.95,10.87,84.7,Jersey,9,678,36.48,4.33,418.54
33,25,15,27,16.36,14.31,77.19,Jersey,6,253,29.78,4.2,448.01
43,34,33,0,21.38,8.74,68.73,Friesian,9,569,38.28,3.76,540.77
31,12,16,41,15.42,13.12,65.47,Bunaji,4,662,26.38,3.54,364.11
37,27,22,14,14.63,9.34,75.61,Bunaji,5,463,31.78,3.96,472.35
25,27,34,14,21.54,19.94,82.77,White Fulani,3,456,36.02,4.02,471.04
42,15,39,4,18.68,16.5,65.63,White Fulani,2,517,30.01,3.81,430.57
46,21,22,11,22.11,13.91,85.57,Holstein,3,566,38.02,4.56,423.63
57,24,32,0,19.47,11.78,70.52,White Fulani,7,784,37.7,4.56,492.9
33,26,33,8,12.23,11.22,65.02,Friesian,6,449,27.38,3.59,434.02
24,25,24,27,13.5,12.16,85.96,Jersey,5,583,33.18,3.97,472.7
34,33,21,12,22.94,17.47,63.21,Bunaji,7,703,35.19,3.66,504.37
47,13,38,2,22.29,10.05,51.47,Jersey,2,429,32.94,3.8,381.94
45,20,35,0,20.88,11.69,72.38,Friesian,7,420,35.67,4.05,423.07
31,12,24,33,20.12,11.23,61.36,Jersey,7,555,28.59,3.84,411.04
28,15,39,18,23.88,14.07,71.75,Bunaji,1,659,36.81,4.03,424.02
43,23,38,0,24.12,18.73,57.6,White Fulani,7,440,36.79,4.07,423.34
27,29,23,21,13.99,9.3,71.4,Holstein,2,494,28.23,3.43,497.86
51,32,31,0,23.3,12.29,85.64,Bunaji,5,387,41.44,4.56,550.39
27,24,30,19,23.73,19.42,83.68,Bunaji,8,300,37.7,3.72,433.26
23,15,39,23,22.75,17.14,69.91,Bunaji,1,690,34.22,3.71,363.59
41,14,28,17,16.59,13.5,89.26,Bunaji,2,359,33.19,4.02,394.51
47,23,34,0,21.6,11.18,50.68,Friesian,4,637,34.54,3.26,493.57
27,12,11,50,22.07,16.88,71.53,Bunaji,5,514,34.68,3.5,366.51
23,30,20,27,24.67,12.68,86.39,Jersey,9,318,41.33,3.93,492.68
56,22,31,0,24.62,11.06,69.43,Friesian,3,411,39.14,4.54,468.3
23,34,37,6,22.61,17.53,82.95,White Fulani,4,561,39.82,4.28,489.23
28,14,26,32,17.88,14.23,82.42,Jersey,4,727,32.71,3.93,394.84
22,33,24,21,16.67,10.76,73.18,Jersey,2,474,35.02,3.35,520.41
56,12,36,0,19.72,8.81,78.58,Jersey,2,718,34.9,4.18,404.25
33,16,18,33,23.21,10.56,65.62,Jersey,5,259,36.09,3.62,445.88
38,32,37,0,12.29,14.32,60.01,Friesian,7,666,29.1,3.08,509.46
31,33,10,26,22.64,10.4,73.17,White Fulani,9,392,38.21,4.13,515.15
47,16,21,16,24.31,19.05,77.38,White Fulani,8,601,36.16,4.5,421.63
48,31,13,8,14.47,15.82,51.17,Bunaji,2,666,29.28,3.11,521.15
39,24,16,21,21.61,15.26,65.69,Holstein,1,558,33.25,4.07,508.03
56,16,17,11,15.24,14.86,50.73,Friesian,6,727,28.02,3.45,402.28
48,34,35,0,19.3,12.05,52.87,White Fulani,2,303,35.13,3.69,542.7
34,10,25,31,16.49,9.65,89.93,Friesian,1,446,30.54,3.86,326.4
32,21,13,34,12.5,13.21,76.94,Friesian,5,639,29.18,3.64,452.25
33,27,37,3,18.97,12.82,87.55,Bunaji,8,418,38.05,4.24,433.31
22,14,10,54,17.35,15.23,89.99,White Fulani,1,470,30.33,4.26,401.92
56,22,15,7,13.89,11.99,68.21,Holstein,6,568,31.99,4.46,487.03
31,18,20,31,22.0,16.01,84.19,Holstein,1,609,34.05,4.29,420.41
57,12,19,12,12.67,16.2,60.04,Holstein,6,265,26.44,3.41,412.46
42,23,12,23,15.34,16.05,88.32,Jersey,1,794,33.3,4.24,476.8
52,18,23,7,15.54,17.98,53.35,White Fulani,2,685,29.95,3.35,450.97
49,13,19,19,16.76,15.75,87.9,Jersey,3,445,34.26,4.51,404.19
58,10,18,14,17.39,14.42,50.81,Jersey,1,566,28.43,3.67,380.77
44,16,11,29,17.79,12.26,69.83,Jersey,7,501,34.21,3.83,437.17
21,10,35,34,12.22,9.82,53.68,Bunaji,5,523,20.15,2.77,360.95
52,19,18,11,13.83,19.34,87.32,Bunaji,7,558,31.7,4.37,448.81
55,11,33,1,23.72,10.03,85.32,Friesian,9,375,40.11,4.83,410.06
49,29,39,0,13.3,17.69,55.41,Friesian,2,616,27.0,3.17,521.92
40,33,24,3,24.17,19.47,84.26,White Fulani,7,505,44.78,4.31,507.26
42,22,35,1,23.48,8.84,66.76,White Fulani,4,362,37.59,3.9,447.29
53,31,38,0,22.75,16.05,85.78,Bunaji,5,514,42.14,5.05,606.03
57,20,13,10,17.73,12.25,58.93,Friesian,4,667,33.61,3.97,483.14
53,17,28,2,22.02,9.32,51.1,Friesian,2,731,33.51,3.48,441.54
31,15,27,27,16.86,8.93,73.87,Jersey,1,595,30.12,4.02,355.35
48,30,31,0,20.86,11.78,79.35,Holstein,2,267,36.63,4.71,520.77
23,28,27,22,17.03,12.2,89.93,Holstein,4,457,35.75,3.86,500.54
44,22,37,0,22.07,14.17,50.42,Holstein,2,672,36.19,3.59,436.41
20,12,30,38,12.95,11.41,59.72,Bunaji,9,407,20.21,3.01,346.31
23,27,16,34,17.3,10.74,56.29,Holstein,9,368,29.75,2.91,476.5
44,21,38,0,24.15,11.5,85.13,Holstein,5,391,41.8,4.67,436.49
45,29,38,0,20.31,12.87,88.86,Jersey,8,389,38.71,4.79,507.57
38,32,12,18,18.83,14.64,65.56,White Fulani,8,461,36.44,3.59,523.04
58,14,29,0,22.53,19.43,64.5,Bunaji,4,265,36.06,4.39,380.68
32,10,38,20,20.34,19.08,81.32,Friesian,2,531,34.8,4.33,359.38
29,25,34,12,15.87,10.19,74.66,Jersey,3,607,33.1,3.87,430.73
43,15,26,16,17.29,15.81,64.25,Holstein,5,307,27.69,3.93,424.09
20,30,39,11,18.25,19.69,63.77,Friesian,5,687,27.76,3.44,483.21
34,29,13,24,23.7,10.62,75.02,Jersey,9,649,35.82,4.24,457.18
35,10,25,30,14.5,14.45,61.16,Bunaji,4,583,24.42,3.36,399.66
26,26,13,35,16.81,10.56,85.39,Holstein,1,383,33.58,3.85,443.66
53,34,26,0,14.48,18.95,68.64,Bunaji,2,386,31.68,3.68,568.84
59,15,12,14,15.54,8.04,78.79,Jersey,8,352,31.52,4.74,441.64
43,15,15,27,19.77,19.12,65.94,Friesian,7,503,31.19,4.01,399.13
24,23,28,25,17.22,10.24,74.98,White Fulani,5,456,29.74,3.92,448.95
55,13,20,12,23.56,11.87,50.54,Holstein,9,628,33.73,3.9,429.3
41,17,25,17,23.67,9.8,83.04,Bunaji,5,451,35.77,4.58,407.4
22,31,36,11,20.1,9.83,83.79,Friesian,7,410,34.46,4.18,467.99
30,15,36,19,16.63,9.49,52.0,Friesian,8,721,25.69,3.08,375.38
37,15,28,20,20.14,13.34,53.67,White Fulani,2,308,26.46,3.23,402.41
55,27,25,0,17.99,8.49,85.21,Jersey,9,526,36.61,4.54,511.48
57,29,22,0,17.95,12.09,68.71,White Fulani,3,579,35.68,4.1,537.46
52,15,16,17,18.2,18.4,50.87,White Fulani,4,353,27.33,3.29,435.06
50,27,10,13,21.63,18.04,52.19,Jersey,6,323,36.24,3.48,502.35
25,22,18,35,18.35,9.07,65.5,Jersey,7,431,32.2,3.5,464.97
28,22,18,32,16.65,17.02,74.82,Jersey,8,488,29.26,3.56,440.55
50,26,24,0,20.95,12.37,87.54,Friesian,1,481,38.56,4.94,454.83
43,34,32,0,23.62,16.69,68.61,Friesian,6,257,39.31,4.27,530.26
28,18,37,17,21.2,8.74,86.17,Holstein,1,661,33.62,4.07,370.52
41,25,13,21,19.11,19.04,89.67,Holstein,8,694,36.57,4.41,528.78
42,12,10,36,20.72,15.72,59.75,White Fulani,2,481,30.8,3.44,433.11
48,26,13,13,21.61,17.58,58.11,White Fulani,6,731,34.55,3.66,503.59
47,23,19,11,18.69,11.86,56.17,Holstein,6,400,33.59,3.6,456.51
20,21,17,42,18.27,8.6,69.98,Bunaji,2,703,30.23,3.75,403.76
32,31,32,5,15.76,10.49,65.86,White Fulani,1,259,31.47,3.36,516.66
21,28,25,26,13.65,11.56,72.79,Bunaji,2,499,30.18,3.33,462.46
35,22,25,18,15.44,10.52,81.36,Bunaji,9,672,33.19,4.29,397.43
26,19,19,36,17.66,13.14,83.7,Jersey,2,750,35.27,3.9,445.5
32,20,35,13,23.39,18.61,54.34,Friesian,4,434,33.08,3.24,424.19
55,21,15,9,14.15,12.86,85.97,Holstein,4,674,32.82,4.31,439.16
58,34,27,0,20.32,11.26,66.05,Friesian,1,382,39.1,4.25,580.54
28,14,32,26,24.78,10.94,65.05,Holstein,1,764,33.77,4.07,394.07
44,25,29,2,22.63,14.53,51.29,Friesian,7,483,36.78,3.74,475.42
28,14,33,25,24.87,11.63,61.1,Holstein,5,401,33.34,3.78,392.4
22,33,33,12,15.02,18.84,57.09,Friesian,3,325,26.48,3.1,522.17
37,31,32,0,12.16,14.01,77.9,Jersey,8,474,32.79,3.67,505.16
37,12,33,18,17.44,8.53,73.56,Bunaji,8,446,31.31,4.08,365.37
36,11,29,24,16.7,16.86,66.07,Holstein,3,658,28.25,3.56,393.59
26,24,29,21,21.4,12.72,58.69,Bunaji,2,455,32.39,3.49,395.54
41,22,27,10,21.76,19.39,63.95,Holstein,4,360,34.69,3.76,487.05
48,30,18,4,12.79,9.15,51.52,Holstein,9,605,30.62,3.37,529.71
36,19,33,12,20.67,16.39,85.86,Jersey,5,397,35.82,4.35,414.48
45,10,34,11,23.67,19.76,75.91,Friesian,4,399,35.86,4.5,376.66
26,34,36,4,20.4,13.24,60.02,Holstein,8,585,32.77,3.4,491.79
27,11,34,28,14.6,17.73,56.29,Friesian,3,692,24.73,3.11,373.61
36,19,18,27,19.39,13.42,67.4,Jersey,7,517,30.47,3.86,397.52
37,22,24,17,20.64,18.79,79.06,White Fulani,2,303,35.99,4.22,428.9
55,31,33,0,19.29,11.1,52.92,Bunaji,4,579,34.73,3.32,564.76
58,14,12,16,19.35,18.82,69.82,Holstein,3,774,31.98,3.94,432.13
29,10,26,35,18.9,14.68,69.76,Jersey,2,352,28.94,3.5,333.58
53,28,35,0,23.06,13.5,50.96,Friesian,3,707,34.57,3.33,521.82
51,15,36,0,16.23,8.42,76.06,Holstein,6,595,32.08,3.95,375.58
45,17,18,20,20.17,18.62,81.89,Friesian,7,698,36.23,4.22,441.8
46,23,10,21,24.14,8.45,70.01,White Fulani,5,374,37.08,4.13,506.03
50,33,18,0,13.79,19.78,64.79,Holstein,8,717,30.88,3.58,519.98
23,32,29,16,12.38,12.08,73.38,Bunaji,3,511,27.87,3.38,454.18
55,10,15,20,23.57,19.14,59.52,Holstein,6,278,33.72,4.24,392.1
31,13,19,37,13.86,9.62,60.25,Bunaji,2,589,25.18,3.47,401.31
47,25,12,16,15.56,15.07,55.68,Friesian,2,287,29.1,3.25,489.48
21,19,11,49,15.45,16.01,64.46,Holstein,7,629,27.78,3.3,391.42
41,11,25,23,12.07,19.2,70.46,Jersey,7,798,24.04,3.3,385.36
36,15,26,23,23.31,18.71,75.75,Jersey,6,256,34.72,4.39,383.21
33,25,12,30,12.96,14.15,82.91,White Fulani,7,764,31.82,3.83,475.77
50,30,11,9,13.05,17.55,62.98,Jersey,1,295,32.65,3.3,539.03
20,34,38,8,22.82,15.47,51.5,White Fulani,6,281,36.14,2.7,510.97
22,25,14,39,15.22,19.52,52.7,Friesian,8,725,28.27,2.91,468.69
